order_id,order_status,created_dow,created_time,updated_dow,updated_time,delivered_dow,delivered_time,picker_id,driver_id,storebranch_id
6abd5e28d01b7c733fe37485294235dc,CANCELED,0,11:43:29,0,11:45:28,,,09bb5bfe76adbb474dddbdd111a51623,,258f4c26a82a5239920a082ffe23cfc4
0d37a1eea001f01b40232ffd496ff663,CANCELED,0,12:00:09,0,12:33:33,,,,,258f4c26a82a5239920a082ffe23cfc4
528428e9b9eb5d3bd0dbdd8da692b087,CANCELED,0,12:15:29,0,12:24:06,,,,,258f4c26a82a5239920a082ffe23cfc4
d3f7be6d64eae7405b7bf024e04807a2,CANCELED,0,12:53:10,0,12:53:58,,,,,258f4c26a82a5239920a082ffe23cfc4
e0ad6533b6cd9a382ec6c1d473c5036c,CANCELED,0,13:05:33,0,13:06:02,,,,,258f4c26a82a5239920a082ffe23cfc4
f169a660e8667798da11775767cdce78,CANCELED,1,11:09:16,1,11:27:53,,,,,258f4c26a82a5239920a082ffe23cfc4
073eca5efe7ebb1073ec80cb90185c20,CANCELED,1,11:52:11,1,11:52:35,,,,,258f4c26a82a5239920a082ffe23cfc4
99a360636e3cb03552b6d74b4ccef603,CANCELED,1,16:35:46,1,16:41:31,,,,,258f4c26a82a5239920a082ffe23cfc4
c1800bdd3c666b497b39d6e526917167,CANCELED,1,13:10:41,2,10:50:04,,,,,258f4c26a82a5239920a082ffe23cfc4
b4c64ceaa31265a4b2ff0dec82b9beeb,CANCELED,0,15:20:59,0,15:30:31,,,,,02020427c72aa211602ead141160a9eb
e330962281e3de49b3d3856653e6da71,CANCELED,1,12:20:04,1,12:30:54,,,c4c722114a82fa21654e57e9636d68b0,,02020427c72aa211602ead141160a9eb
4211ea0cba325e47bb71b7fed552d9c4,CANCELED,1,13:08:10,1,13:11:20,,,,,02020427c72aa211602ead141160a9eb
df5de78cdde5a1fcd3ab2e1854a4b7a0,CANCELED,2,1:05:16,2,7:14:56,,,,,02020427c72aa211602ead141160a9eb
4616d54ad9cb3f34dea010dd777f90c7,CANCELED,2,21:59:31,2,21:59:46,,,,,02020427c72aa211602ead141160a9eb
ce264645741a0fc79890f06ea7b2336b,CANCELED,2,21:58:34,2,21:59:54,,,,,02020427c72aa211602ead141160a9eb
b72060dd7e1b8ea5c4e7061dc35ce31f,CANCELED,3,9:44:08,3,10:20:07,,,,,02020427c72aa211602ead141160a9eb
f28062e9d0b9d4cfa1a44d248b9c5e84,CANCELED,3,17:24:33,3,17:32:56,,,,,02020427c72aa211602ead141160a9eb
975dbd17902585a82876fe61d7005e0c,CANCELED,5,12:54:03,5,15:02:56,,,,,02020427c72aa211602ead141160a9eb
2d6365ef228fe1197d22b9c98596a448,CANCELED,0,13:15:30,0,13:33:17,,,,,22dcadd55bcd012e63ececc69c55bb74
119166fd7165cb2898aadf8a43538350,CANCELED,0,14:01:17,0,14:04:38,,,,,22dcadd55bcd012e63ececc69c55bb74
17daa9724e617a9ee38dd3cf367f4429,CANCELED,0,15:21:44,0,16:29:11,,,,,22dcadd55bcd012e63ececc69c55bb74
2eff8a7fc14ae172469e39978adfac3a,CANCELED,1,11:59:49,1,12:20:18,,,,,22dcadd55bcd012e63ececc69c55bb74
475d652e3885af91dd8a3873429c96f8,CANCELED,1,16:12:35,1,23:05:54,,,,,22dcadd55bcd012e63ececc69c55bb74
143756b901adf85760ad8b96b7e6cb58,CANCELED,1,17:30:09,1,17:56:56,,,,,22dcadd55bcd012e63ececc69c55bb74
21a951ca1517d7b705a05002e4211d23,CANCELED,1,17:16:00,1,17:27:27,,,,,22dcadd55bcd012e63ececc69c55bb74
84c7d713196ad09c79b81a471fc39992,CANCELED,2,20:31:05,2,20:33:56,,,,,22dcadd55bcd012e63ececc69c55bb74
9ca1a72c17a3465b1b4646b8e39cd410,CANCELED,3,2:03:11,3,2:03:33,,,,,22dcadd55bcd012e63ececc69c55bb74
605db8da3965581ea0bf6d56082600bf,CANCELED,3,9:11:02,3,9:13:52,,,,,22dcadd55bcd012e63ececc69c55bb74
e1d9a4f57ffe610c5fb453a0ab350ea0,CANCELED,2,21:00:46,2,21:26:09,,,,,22dcadd55bcd012e63ececc69c55bb74
ba8444278cc2535fdc9febc9cf5b8cd1,CANCELED,3,12:53:58,3,13:00:43,,,,,22dcadd55bcd012e63ececc69c55bb74
